100
9.92 19.98
19.56 20.59
29.16 19.67
40 20.6
49.53 19.57
59.34 19.96
69.31 20.98
80.01 19.77
89.73 19.74
99.46 19.85
109 20.62
118.55 19.58
129.13 20.64
139.97 19.83
150.68 19.55
160.44 19.84
171.23 20.87
181.89 20.57
192.51 19.98
202.3 19.85
211.85 19.54
221.54 20.94
232.17 20.52
241.73 19.92
251.53 20.95
262.24 19.69
272.02 19.77
282.88 20.79
292.7 20.63
302.45 19.62
311.98 20.76
322.92 19.96
333.66 20.78
344.44 20.7
355.2 19.54
365.94 20.72
375.49 19.51
386.09 20.69
396.91 20.52
407.89 20.98
417.39 20.67
427.29 20.83
437.14 20.5
446.81 19.86
456.68 19.63
467.4 20.6
477 20.85
486.6 20.79
497.17 20.61
506.94 20.85
516.71 19.54
527.54 19.98
538.41 19.9
549.38 19.62
558.89 19.85
569.66 19.92
580.39 19.92
591.34 19.76
601.98 20.65
612.74 19.88
623.71 20.8
633.54 19.81
644.06 20.6
654.03 20.88
664.83 19.61
675.36 20.58
686.07 20.64
696.87 20.94
706.8 20.71
717.77 20.73
728.57 20.67
738.38 19.82
749.22 19.95
759.86 19.96
770.57 19.52
780.23 20.62
790.08 19.57
799.78 19.62
809.47 20.71
819 19.64
828.69 19.54
839.51 19.56
849.22 19.82
860.17 20.77
870.15 20.93
880.8 20.74
890.73 20.93
901.5 19.6
911.21 20.56
922.2 19.62
932.18 20.64
941.69 19.75
952.65 19.95
962.6 19.61
972.59 19.83
982.26 19.52
992.85 19.77
1002.73 20.62
1013.26 20.74
1023.87 20.79
